| k | ASW | Clusters | Poorly classified |
| 11 | 0.326 | [P74 Aleph A B 1175 cop-sa eth (UBS)] [C 36 307 453 (610) 1678] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 81 181 2344] [945 (1739) 1891 L1178 arm geo] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-l it-p it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [(cop-meg)] | cop-bo cop-sa 1175 A |
| 12 | 0.328 | [P74 Aleph A B 1175 cop-sa (UBS)] [C 36 307 453 (610) 1678] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 81 181 2344] [945 (1739) 1891 L1178 arm geo] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-l it-p it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [(cop-meg)] [(eth)] | A cop-bo 1175 cop-sa |
| 13 | 0.338 | [P74 Aleph A B 1175 cop-sa (UBS)] [C 36 307 453 (610) 1678] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 81 181 2344] [945 (1739) 1891 L1178 arm geo] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [(it-l) it-p] [(cop-meg)] [(eth)] | A 1175 cop-sa |
| 14 | 0.326 | [P74 (A) C 81] [Aleph B 1175 cop-sa (UBS)] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 181 2344] [36 307 453 (610) 1678] [945 (1739) 1891 L1178 arm geo] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [(it-l) it-p] [(cop-meg)] [(eth)] | UBS 1891 Psi 81 cop-bo Aleph C cop-sa 1175 |
| 15 | 0.349 | [P74 (A) C 81] [Aleph B 1175 cop-sa (UBS)] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 181 2344] [36 307 453 (610) 1678] [(945) 1739 1891 L1178] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-meg)] [(arm) geo] [(eth)] | UBS syr-p Psi 81 cop-bo Aleph C cop-sa 1175 |
| 16 | 0.354 | [P74 (A) C 81] [Aleph B 1175 (UBS)] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 181 2344] [36 307 453 (610) 1678] [(945) 1739 1891 L1178] [1409 (Byz) L P Lect slav Chrysostom] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-sa)] [(cop-meg)] [(arm) geo] [(eth)] | syr-p Psi 81 cop-bo P74 C 1175 |
| 17 | 0.364 | [P74 (A) C 81] [Aleph B 1175 (UBS)] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 181 2344] [36 307 453 (610) 1678] [945 1739 (1891)] [1409 (Byz) L P Lect slav Chrysostom] [(L1178)] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-sa)] [(cop-meg)] [(arm) geo] [(eth)] | syr-p Psi 81 cop-bo P74 C 1175 |
| 18 | 0.367 | [P74 (A) 81] [Aleph B 1175 (UBS)] [(C)] [D (it-d)] [E (it-e)] [Psi 614 syr-p (syr-h)] [(33) 181 2344] [36 307 453 (610) 1678] [945 1739 (1891)] [1409 (Byz) L P Lect slav Chrysostom] [(L1178)] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-sa)] [(cop-meg)] [(arm) geo] [(eth)] | Psi UBS syr-p Aleph 1175 cop-bo |
| 19 | 0.365 | [P74 (A) 81] [Aleph B 1175 (UBS)] [(C)] [D (it-d)] [E (it-e)] [(Psi)] [(33) 181 2344] [36 307 453 (610) 1678] [614 syr-p (syr-h)] [945 1739 (1891)] [1409 (Byz) L P Lect slav Chrysostom] [(L1178)] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-sa)] [(cop-meg)] [(arm) geo] [(eth)] | syr-p UBS Aleph 1175 cop-bo |
| 20 | 0.370 | [P74 (A) 81] [Aleph B 1175 (UBS)] [(C)] [D (it-d)] [E (it-e)] [(Psi)] [(33) 181 2344] [36 307 453 (610) 1678] [614 syr-p (syr-h)] [945 1739 (1891)] [(1409)] [(Byz) L P Lect slav Chrysostom] [(L1178)] [it-ar it-c it-dem it-ph it-ro it-w (vg) cop-bo] [(it-gig)] [it-l (it-p)] [(cop-sa)] [(cop-meg)] [(arm) geo] [(eth)] | syr-p UBS Aleph 1175 cop-bo |
